target,C0_morgan_only,C1_morgan_plus_dock,C2_dock_only,C3_dock_plus_admet
O60674,0.5740740740740741,0.5555555555555556,0.14814814814814817,0.4259259259259259
O60885,0.6088929219600726,0.6352087114337568,0.4437386569872958,0.7053841500302479
P00533,0.4797619047619048,0.41656746031746034,0.5375,0.6378968253968255
P09874,0.5416666666666666,0.5487179487179487,0.5083333333333333,0.483974358974359
P10275,0.3598895582329317,0.3142570281124499,0.551004016064257,0.35682730923694783
P11474,0.5416666666666666,0.5833333333333334,0.6805555555555555,0.3333333333333333
P11802,0.8927304964539008,0.8714539007092199,0.5907210401891253,0.8429373522458629
P12931,0.3680555555555555,0.5555555555555556,0.5416666666666666,0.24999999999999997
P24941,0.8299319727891157,0.8299319727891157,0.5102040816326531,0.8367346938775512
P25440,0.725925925925926,0.7824074074074074,0.39907407407407414,0.5990740740740741
P30291,0.6354166666666666,0.6145833333333334,0.71875,0.40625
P31749,0.8653333333333334,0.7946666666666667,0.7760000000000001,0.8026666666666666
P31751,0.8846153846153846,0.810897435897436,0.4679487179487179,0.780448717948718
P36888,0.49691358024691357,0.43595679012345673,0.4803240740740741,0.20216049382716048
Q00534,0.8786764705882354,0.8620448179271709,0.6306022408963585,0.7535014005602241
Q00987,0.25925925925925924,0.26851851851851855,0.6388888888888888,0.6666666666666666
Q02750,0.3724279835390947,0.36316872427983543,0.3374485596707819,0.25102880658436216
Q05397,0.82,0.7200000000000001,0.5,0.7400000000000001
Q06124,0.4761904761904762,0.43452380952380953,0.48214285714285715,0.14285714285714285
Q06187,0.47341269841269845,0.4936507936507937,0.569047619047619,0.4097883597883598
Q07817,0.2620192307692308,0.3397435897435897,0.7323717948717948,0.35977564102564097
Q15059,0.730654761904762,0.6875,0.44196428571428564,0.8154761904761904
Q96SW2,0.5555555555555555,0.3611111111111111,0.49999999999999994,0.3666666666666667
Q9NYV4,0.19444444444444445,0.14814814814814817,0.5370370370370371,0.3888888888888889
Q9UM73,0.5299603174603175,0.539484126984127,0.5123015873015873,0.576984126984127
Q9Y243,0.9097222222222222,0.8489583333333334,0.4791666666666667,0.8298611111111112
Q9Y616,0.8333333333333334,0.8166666666666668,0.48333333333333334,0.36666666666666664
