target,n,auroc
P10275,1968,0.5249824074341846
P03372,1291,0.5985201501320017
Q06187,761,0.6842687846696923
P01116,722,0.6954145342170763
P15056,606,0.704980600539811
P51531,432,0.647722282109634
P00533,402,0.7568763616557734
Q9NWZ3,313,0.7971960167714883
P51532,271,0.6480482933914306
P10636,210,0.5031241906241907
O60885,162,0.5519991871157851
P01116/P04049,139,0.8167094017094018
Q92793,111,0.8768476621417798
P14902,109,0.4701754385964912
Q07889,91,0.3670142336974512
Q92918,91,0.761917372881356
Q92793/Q09472,83,0.9073383084577115
Q09472,80,0.9352213541666666
P36969,76,0.7460837887067395
Q13422,73,0.6305237315875614
P36888,70,0.7347494553376906
P17706,68,0.8901909722222222
Q9BY41,61,0.41504629629629636
P18031,59,0.9515686274509804
P09874,57,0.25396825396825395
P36897,57,0.5366581415174766
Q00534,57,0.8541666666666666
P11802,56,0.7176151761517615
P51531/P51532,48,0.7351557907113463
P50750,47,0.7784848484848484
Q02750,46,0.5897435897435898
O15379,43,1.0
P98170,39,0.4116161616161616
Q9UBN7,39,0.4305555555555555
P49336,38,0.5791090629800307
P43490,36,0.49948559670781895
Q9UM73,34,0.7025462962962964
P01116/Q07889,32,0.4431818181818182
P25440,32,0.9156545209176788
Q15059,31,0.933048433048433
P37840,30,0.5148809523809524
Q06124,30,0.7474074074074074
P30530,28,0.9747474747474748
Q9NYV4,28,0.7348927875243665
P40337,26,0.75625
Q14004,26,0.5724206349206349
P06239,25,0.7251461988304092
P40763,24,0.3137254901960784
P24941,22,0.8857142857142858
P49840,22,0.956140350877193
Q9Y2I7,21,0.44753086419753085
P33981,20,0.5433333333333333
Q08881,19,0.530952380952381
Q93009,19,0.5811965811965812
P08581,17,0.9944444444444445
P15170,17,0.2788461538461538
Q96SW2,17,0.10256410256410253
O60674,14,0.9513888888888888
Q9Y616,14,0.8055555555555557
Q5S007,13,0.8166666666666668
O75530,12,0.5619047619047618
Q16539,12,0.8703703703703706
P11474,11,0.619047619047619
O43924,10,0.6296296296296297
O60760,10,0.753968253968254
